,%O2,y,y_err
0,1,0.052837046,0.001597254
1,1,0.679629743,0.028900062
2,1,1.164497893,0.06262351
3,1,1.478465701,0.041363395
4,1,1.624569617,0.034096022
5,1,2.028619793,0.083337923
6,21,0.081864133,0.001875823
7,21,0.075600144,0.002102233
8,21,0.07007762,0.001730328
9,1,0.101705031,0.001931056
10,1,1.566387127,0.133806646
11,1,2.480004081,0.126221831
12,1,2.166049407,0.293177079
13,1,1.92634939,0.110612379
14,1,1.866111762,0.195402763
15,21,0.149729537,0.005887058
16,21,0.136559659,0.010581361
17,21,0.119060946,0.011476693
18,1,0.04500414,0.001584752
19,1,0.926744518,0.02233973
20,1,2.414784455,0.215544881
21,1,2.338987126,0.079719995
22,1,2.124661812,0.106426454
23,1,2.045072649,0.21939885
24,21,0.066713479,0.001540545
25,21,0.083590123,0.004699594
26,21,0.069962161,0.003356576