,t_HAF,k_txn2,k_dHAF,k_bHS,k_bHH,k_txnH,k_dH1R,k_dH1P,k_dHP,k_txnBH,t_HAF*,k_txn2*,k_dHAF*,k_bHS*,k_bHH*,k_txnH*,k_dH1R*,k_dH1P*,k_dHP*,k_txnBH*,chi_sq,r_sq,redchi_sq,success,model,chi_sq_list,Simulation results,x,exp_data,exp_error
0,53.76324615,4.122261928,8.70E-05,0.038846671,0.010870658,0.046554102,0.001161097,0.000368639,0.071828124,0.433826639,58.84038294,19.39486495,1.205440145,8.258735426,0.194338003,0.08933521,0.029685513,0.586658409,0.475082181,8.224385115,0.510661621,0.969283647,0.051066162,TRUE,<games.models.HBS.HBS_model object at 0x15f5588e0>,"[4.733459969891898, 4.7334598612543015, 4.7334598612543015, 4.7334598612543015, 4.7334598612543015, 4.733459972519213, 4.733459926289351, 4.733459943332575, 4.733459939595061, 4.7334597984101014, 4.733459737664821, 4.733459850844863, 4.733460055757729, 4.733458338627246, 6.112861046877718, 3.426303184990586, 3.4263031841774354, 3.426303120943839, 3.426303203871976, 3.426303284005581, 3.426303325802702, 3.4263034296509858, 3.426303320126296, 3.4263034336269342, 3.426302941823939, 3.4263025870733568, 2.5584584050462857, 2.5584584088755653, 2.5584579822268565, 2.5584584036382876, 2.55845841708735, 2.55845874133788, 2.558458471864425, 2.558458238575895, 2.5584583890900237, 2.5584584200070717, 2.5584596912186415, 131.04388693325754, 1.1347068674224696, 1.1347068738649664, 1.134706779268157, 1.1347068761391041, 1.1347068206594058, 1.1347070306079872, 1.1347069440712323, 1.1347068075805773, 1.134706874336016, 1.1347068992892309, 1.1347066979433185, 1.0755412697849607, 1.0755413045358462, 1.0755414107658376, 1.0755413159562572, 1.0755413853401348, 1.075541839149426, 1.0755411932142778, 1.0755412704316096, 1.0755412633412513, 1.0755411498928473, 1.075542090896282, 0.9457535031768464, 0.9457535233368907, 0.9457535434594035, 0.9457534934625024, 0.9457534509570268, 0.945753947430439, 0.9457534361665015, 0.9457534975834037, 0.9457534496317066, 0.9457534266362719, 0.9457540517165786, 0.8230172961930985, 0.8230172829533929, 0.8230174542494889, 0.8230172920324768, 0.8230172884436415, 0.8230175424176609, 0.8230172983812021, 0.8230173149813158, 0.8230172366234375, 0.8230172068099783, 0.8230178635461967, 0.6872037099294477, 0.6872037154560392, 0.6872037382486804, 0.6872037217312275, 0.687203706161506, 0.6872036642476662, 0.6872037140213697, 0.6872036974802966, 0.6872037024663499, 0.6872037250013555, 0.6872036504699206, 0.5778211569241503, 0.5778211616859404, 0.5778211481353405, 0.5778211730096973, 0.5778211563041565, 0.5778212232889708, 0.5778211593510523, 0.5778211550373341, 0.5778211629460139, 0.5778211526820424, 0.5778211399163494, 0.5446725829522217, 0.5446725747888851, 0.5446725505332767, 0.5446725645293922, 0.5446725725593086, 0.5446723703274428, 0.5446725665942593, 0.5446725697469214, 0.5446725804578474, 0.5446725937344774, 0.5446724331081986, 0.5606401163651057, 0.5234035851567352, 0.5234035743605083, 0.5234035815809825, 0.523403583788682, 0.5234035739555432, 0.5234038165730309, 0.5234035824069017, 0.5234035965290329, 0.5234035837712132, 0.5234035642563968, 0.5234036952874562, 0.525238651569076, 0.5161899933882692, 0.5161900043191016, 0.5161899708375609, 0.5161900156939557, 0.5161899945046988, 0.5161899064099663, 0.5161899905977845, 0.5161899975506313, 0.5161900227623442, 0.5161900054817512, 0.5161899338695055, 0.5145187545259535, 0.5145187725804659, 0.5145187814445236, 0.5145187428020609, 0.5145187554988466, 0.514518774828197, 0.5145187660692871, 0.5145187574298694, 0.5145187409961106, 0.5145187422841905, 0.5145188458440165, 0.5109560102044333, 0.5109560149269153, 0.5109560089574692, 0.5109560224391518, 0.5109560123513708, 0.5109560152917356, 0.5109560087873283, 0.5109560163757112, 0.5109559999158126, 0.5109560172491591, 0.5109560186556359, 0.5108685647102473, 0.5108685680305097, 0.5108685711658176, 0.5108685574181762, 0.5108685679946424, 0.5108685638649001, 0.5108685597300322, 0.5108685732049775, 0.5108685729187279, 0.5108685634985204, 0.5108685785403912, 0.5106622040219698, 0.5106622306557923, 0.5106622133336965, 0.5106622145708991, 0.5106622204877922, 0.5106622009829301, 0.5106622012467655, 0.5106622100355004, 0.5106622274416268, 0.5106622265236106, 0.5106622147567627, 0.5106713949467337, 0.5106629177862568, 0.5106616205070872, 0.5106616197094733, 0.5106616649119599, 0.5106616099190058, 0.5106616174168147, 0.510661623634925, 0.5106616188459954, 0.5106616299578226, 0.5106616140372565, 0.5106616565426858, 0.5106616342648166, 0.510669984478162, 0.5106656211712183, 0.5106635132268211, 0.5106625362379962, 0.5106620623978643, 0.5106618559022587, 0.5106617420052063, 0.5106616205070872, 0.5106616205070872]","[0.1158546  0.87087851 1.30185892 1.38800492 1.32340304 0.1158546
 0.12056595 1.53983192 2.37555332 2.34245797 1.9538949  1.75995313
 0.12056595 0.11831043 1.29092293 2.05560856 2.27506918 2.20493866
 2.16770012 0.11831043]","[6.6, 138.0]","[0.052837046, 0.679629743, 1.164497893, 1.478465701, 1.624569617, 0.081864133, 0.101705031, 1.566387127, 2.480004081, 2.166049407, 1.92634939, 1.866111762, 0.149729537, 0.04500414, 0.926744518, 2.414784455, 2.338987126, 2.124661812, 2.045072649, 0.066713479]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]"
0,64.84298178,333.9558986,0.000198842,0.27506415,0.115173909,0.020468197,0.000372635,0.02961335,7.045474428,29.78057776,61.78363693,338.2980686,1.842212467,1.677287305,0.25402059,160.5317209,0.000110155,0.187347368,7.089182477,66.69589425,0.538123575,0.967032895,0.053812357,TRUE,<games.models.HBS.HBS_model object at 0x1640fa7a0>,"[3.8460737294093734, 3.8460737259575377, 3.8460737259575377, 3.8460737259575377, 3.8460737259575377, 3.846073760652315, 3.846073729417811, 3.846073763708692, 3.8460732103011215, 3.8460737358932886, 3.8460737177936593, 3.8460738801231056, 3.8460737123381117, 3.846073514549288, 8.856012086373532, 27792.605795677864, 2.243462586374296, 2.2434625793197864, 2.24346262356933, 2.243462593056174, 2.243462536257272, 2.243461917117806, 2.2434625501714365, 2.2434626887728686, 2.2434624780557173, 2.2434625484258772, 2.24346237550123, 1.4028422934254172, 1.4028422890611418, 1.402842264883374, 1.4028422894629355, 1.4028422368307103, 1.4028417527175185, 1.4028422975428214, 1.4028422052902492, 1.4028422594046612, 1.4028423166592483, 1.4028421034464182, 0.724737486362215, 0.7247374915938443, 0.7247374872561396, 0.7247374693356725, 0.7247374709967352, 0.7247376547366753, 0.7247374864094078, 0.7247374853680725, 0.7247374612655598, 0.7247374856306577, 0.72473744250777, 0.9728364926221181, 0.6948455216775319, 0.6948455231172987, 0.6948455146312196, 0.6948455246887485, 0.6948454996993068, 0.694845290645951, 0.6948455170436956, 0.6948455411958554, 0.6948455156143928, 0.6948454527085319, 0.6948453937607192, 0.6499037551223151, 0.6499037587006211, 0.6499037604147988, 0.6499037523195668, 0.6499037277454869, 0.6499037469031774, 0.6499037118980643, 0.6499037304218872, 0.6499037551866339, 0.6499037314400536, 0.6499036324755644, 0.6182322773479052, 0.6182322804354446, 0.6182322728882476, 0.6182322782404154, 0.6182322592513158, 0.6182322649503964, 0.6182322865455626, 0.6182322947243916, 0.6182322992773291, 0.6182322874770456, 0.6182322177974336, 0.5870189616549812, 0.5870189591465081, 0.5870189482079815, 0.5870189615167675, 0.5870189437096247, 0.5870190661837654, 0.5870189347786814, 0.5870189544911151, 0.5870189648330061, 0.5870189626915023, 0.5870188816565938, 0.5691181261330844, 0.5691181347155145, 0.569118129843617, 0.5691181471988478, 0.5691181285459057, 0.5691182647571108, 0.5691181341571965, 0.5691181354998043, 0.5691181294660659, 0.569118137848343, 0.5691180960586828, 0.5511420496672061, 0.5511420533519342, 0.5511420402180748, 0.551142052493141, 0.5511420336437627, 0.5511421206023114, 0.5511420325825026, 0.5511420394696256, 0.5511420174420965, 0.5511420604473813, 0.5511420196322099, 0.5462482258217446, 0.546248219298315, 0.5462481856944448, 0.5462481846579651, 0.5462481894785347, 0.5462481503535906, 0.5462481917799907, 0.5462481849238914, 0.5462482091989959, 0.5462482100185977, 0.5462481380002804, 0.5457914648783877, 0.5457914616633125, 0.5457914495814756, 0.5457914816081502, 0.5457914486669652, 0.545791431925759, 0.5457914449875567, 0.5457914520605502, 0.5457914758725503, 0.5457914513418967, 0.545791419155209, 0.5431006665379683, 0.5431006745211622, 0.543100680521518, 0.5431006838552526, 0.5431006663104313, 0.5431006633826403, 0.5431006474640274, 0.5431006535920601, 0.5431006823225688, 0.5431006600216691, 0.5431006194080735, 0.5402144293806513, 0.5402144273890922, 0.5402144374374699, 0.5402144221109283, 0.5402144823668363, 0.5402144437382073, 0.5402144464407099, 0.5402144650755358, 0.5402144329232337, 0.5402144988261247, 0.5402143873780679, 0.5395009088244855, 0.5395009105318913, 0.5395009111199035, 0.5395009205628051, 0.5395009294924017, 0.5395009392975132, 0.5395009125872657, 0.5395009119833767, 0.5395009184106037, 0.5395009150247048, 0.5395008756297118, 0.5382079953473534, 0.5382079988969369, 0.5382079840773324, 0.5382079965390746, 0.5382079677392809, 0.5382080029891868, 0.5382079750666922, 0.5382079796073772, 0.5382079879409193, 0.5382079783458065, 17.66914435069456, 0.5381235748053909, 0.5381235748053909, 0.5381235748053909]","[0.08756775 0.85589689 1.28736155 1.41562321 1.35355059 0.08756775
 0.08968633 1.44376415 2.21869314 2.32746562 1.98730027 1.8169841
 0.08968633 0.08916595 1.26638911 2.02643398 2.29639337 2.21511613
 2.16933221 0.08916595]","[6.6, 138.0]","[0.052837046, 0.679629743, 1.164497893, 1.478465701, 1.624569617, 0.081864133, 0.101705031, 1.566387127, 2.480004081, 2.166049407, 1.92634939, 1.866111762, 0.149729537, 0.04500414, 0.926744518, 2.414784455, 2.338987126, 2.124661812, 2.045072649, 0.066713479]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]"
1,47.15558173,739.1359837,2.579428339,0.001759588,0.00011853,3.39349423,0.000522905,0.005511592,8.34269811,69.97795183,47.11142789,730.4165176,2.540707144,0.59083601,0.273766038,1.013377389,0.160393355,0.054354796,8.112265383,69.66404661,0.558209987,0.965647268,0.055820999,TRUE,<games.models.HBS.HBS_model object at 0x1640f9e70>,"[4.348261807517633, 4.348261990098712, 4.348261990098712, 4.348261990098712, 4.348261863429074, 4.348261831124761, 4.348261866164826, 4.348261802805097, 4.348261985070639, 4.3482617714369365, 4.348261840458904, 4.348261213495887, 4.348261832537661, 4.348262215590916, 25.18589878717725, 25.718583161308107, 1242.9531548195134, 4.250963465747423, 4.250963460219063, 4.250963418712395, 4.250963389464948, 4.250963404581063, 4.250963413525088, 4.250963475337233, 4.2509634325326235, 4.250963028352677, 4.2509633031443395, 4.2509637553176995, 4.147536958713913, 4.1475369381883995, 4.14753685228283, 4.147536834027016, 4.147536834731008, 4.147536781478661, 4.147536893890388, 4.147536887549668, 4.147536303172678, 4.147536911921068, 4.147537192734002, 4.029376605464037, 4.029376682620201, 4.029376533545915, 4.029376546723001, 4.029376498652175, 4.029376533373871, 4.029376730901316, 4.029376720138143, 4.029375958997699, 4.029376690066489, 4.0293769519594544, 3.929883239692259, 3.9298833131031805, 3.929883171732585, 3.929883339316883, 3.92988312204928, 3.929883153934495, 3.9298832587069494, 3.92988326509582, 3.929882802988379, 3.9298832188499864, 3.929883488103919, 3.834004609666804, 3.834004814546565, 3.8340046659016336, 3.8340047125351266, 3.8340045403484107, 3.834004516571863, 3.83400473768721, 3.8340047092403298, 3.8340041808836913, 3.8340047001621853, 3.8340049509053067, 3.776504260911372, 3.776504311069442, 3.776504285134641, 3.776504359864003, 3.7765039306794552, 3.7765040035998623, 3.7765043465174384, 3.7765042808924334, 3.7765036981672044, 3.7765042585096573, 3.776504386610813, 3.6926975868037686, 3.6926975336656005, 3.6926975381206524, 3.6926976744763653, 3.6926976205455375, 3.6926972498453323, 3.6926976020866813, 3.6926976191391283, 3.6926971703869835, 3.6926975907662265, 3.692697789386777, 3.6017978132584045, 3.601797950576661, 3.6017977512444377, 3.6017977681580726, 3.601797768754343, 3.601797485167252, 3.601797815724599, 3.6017977599266815, 3.6017974836897597, 3.6017979422564563, 3.601798009047669, 3.5324137211719187, 3.5324137119127825, 3.5324136674901436, 3.532413672773667, 3.532413573782979, 3.5324134023605525, 3.532413726562205, 3.532413643630001, 3.5324132539768223, 3.5324136557237344, 3.5324138316450906, 3.422519057837921, 3.422519024540277, 3.4225191080725392, 3.422518948519767, 3.422519071157543, 3.4225185811907943, 3.4225190737232034, 3.4225190375937813, 3.422518656541824, 3.422519123645417, 3.4225193045303848, 3.2086441434895674, 3.208644115146953, 3.208644120675106, 3.2086441025342416, 3.208643867632502, 3.2086437798563034, 3.2086441707662483, 3.208644285602006, 3.208643603141753, 3.2086439802074693, 3.2086443479431574, 3.025810244316729, 3.0258102692095803, 3.02581028169034, 3.0258103201229734, 3.0258102557507005, 3.0258098470713506, 3.0258102786580934, 3.0258102755020806, 3.025809952850622, 3.0258103766833067, 3.0258104160808346, 2.851130331205868, 2.8511303316905754, 2.8511302803627987, 2.8511304440727647, 2.851130155865476, 2.8511297901755026, 2.851130403364559, 2.8511303384616338, 2.851129942433869, 2.851130373813381, 2.8511305722355558, 2.614196406113135, 2.614196432825639, 2.6141964904672443, 2.6141964443082295, 2.6141963816526514, 2.6141958124100033, 2.614196457927313, 2.6141964674799305, 2.6141962803977563, 2.6141964664393784, 2.6141965602772568, 2.3986989511866543, 2.398698932723435, 2.398699020367195, 2.3986990007043705, 2.3986988678208525, 2.398698362770326, 2.39869908845609, 2.3986989841933637, 2.398698726293746, 2.398699019058145, 2.3986990395261323, 1.9684261252355004, 1.968426159135707, 1.9684262237814802, 1.96842622790843, 1.9684259596841576, 1.9684254493666873, 1.9684262648187774, 1.9684260575553532, 1.9684259550482122, 1.9684262454525456, 1.9684262309140281, 1.498043256716288, 1.4980432433439625, 1.4980432500903125, 1.4980432347751866, 1.498043197541863, 1.4980425640535562, 1.4980432446135412, 1.4980432827620178, 1.4980430372043982, 1.4980432658335823, 1.4980432521930493, 0.9570256771492908, 0.9570257015050676, 0.9570257109477529, 0.9570256796371803, 0.9570256618307914, 0.9570254533869761, 0.9570256801588818, 0.9570256679607791, 0.9570254141144111, 0.9570256962410544, 0.9570256523103876, 0.5913994001615156, 0.5913994265809968, 0.5913994327192272, 0.5913993892258438, 0.5913994170027267, 0.5913994194380442, 0.5913993942531117, 0.5913993908509678, 0.5913993111117988, 0.591399380547822, 0.5913993947684102, 2.3191721128865472, 0.5803609142267165, 0.5803609140364435, 0.5803609023681676, 0.5803609397497538, 0.580360883718878, 0.580360927877183, 0.5803609128178082, 0.5803608950500956, 0.5803608225165883, 0.5803609148512723, 0.5803608766293425, 0.5582099870812047, 0.558210000768002, 0.5582099883048581, 0.5582100194480922, 0.5582100316039226, 0.558210053739633, 17.55910471117629, 0.5582099884134302, 0.5582099707322616, 0.5582099742844022, 0.558209984587274, 0.5628715299128851, 0.56074865874336, 0.5593974124595322, 0.5588021649818198, 0.5584933591952006, 0.5583426020935381, 0.5582713894440482, 0.5582382532387252, 0.5582229689247244, 0.5582159873057075, 0.5582127154981098, 0.5582112242832484, 0.5582105627100988, 0.5582099870812047, 0.5582099870812047]","[0.08417859 0.86653393 1.30161219 1.36286281 1.38481248 0.08417859
 0.08609038 1.49170087 2.28685976 2.13446834 2.02898623 1.97639111
