,b,m,w,x,exp_data,exp_error,chi_sq,normalized solutions
0,1,2105.576395,0.010785781534670084,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",54.9868,"[0.000699292283305273, 0.03214283887650527, 0.07681503293589335, 0.14529189639076118, 0.26353166016379737, 0.5169358118343288, 0.7619857762539894, 1.0]"
1,1,2105.576395,1.9121187826535433,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",6975.4489,"[0.00047665360402551884, 0.7898986508941167, 0.9025668210496203, 0.9486552578386022, 0.9741714914018433, 0.9907923628297629, 0.9967848557208631, 1.0]"
2,1,2105.576395,21.20922066789099,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",10452.5157,"[0.00047502320380670435, 0.9734686022720344, 0.9885507914730665, 0.9939889348911042, 0.996910997987822, 0.9988444093082502, 0.9995790543705179, 1.0]"
3,1,2105.576395,0.19778614435454867,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",942.623,"[0.0004888458340080385, 0.2930261125696336, 0.5106897317807311, 0.6797529893534515, 0.8157029782695069, 0.9286260993069467, 0.9745976016830442, 1.0]"
4,1,2105.576395,0.30904290392664296,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",1726.1836,"[0.0004841267808791412, 0.3898088617308562, 0.6159816275120189, 0.764850222203737, 0.8711355504057439, 0.9518828638188351, 0.9830905484600687, 1.0]"
5,1,2105.576395,0.6156642531228318,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",3514.0143,"[0.0004798087379964399, 0.5555728964878945, 0.757305170438338, 0.862890579689485, 0.9285936637979573, 0.9741945061346579, 0.9910123047367237, 1.0]"
6,1,2105.576395,0.000391782940084264,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",1687.3529,"[0.006432795707964175, 0.017165426944239465, 0.033231787180342406, 0.05992251093486486, 0.11298178574519911, 0.2696286548375512, 0.5225680736734091, 1.0]"
7,1,2105.576395,2.0861695984265882,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",7210.3742,"[0.00047651940348510303, 0.8035277651688325, 0.9096268733479481, 0.9525058277046778, 0.9761305834595269, 0.9914881461064933, 0.9970254245337038, 1.0]"
8,1,2105.576395,0.00031996503871316225,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",2474.6417,"[0.007758055426961764, 0.018330632707467782, 0.03416327241790214, 0.06048130296977607, 0.11285753185519942, 0.2679382905642849, 0.5197780078481301, 1.0]"
9,1,2105.576395,0.004473036954482664,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",115.9923,"[0.00100731137791283, 0.020034530669157512, 0.04792953406873186, 0.09277570662992385, 0.17677089571301732, 0.39092613150874556, 0.6577756735688468, 1.0]"
10,1,2105.576395,2.993043399751269,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",8089.5122,"[0.0004760609583093325, 0.8527392532049304, 0.9341174252188816, 0.9656658825438295, 0.9827784291551066, 0.9938417267222578, 0.9978391305393006, 1.0]"
11,1,2105.576395,0.0003585611088079293,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",1992.7673,"[0.006980281921935319, 0.01763953864294737, 0.033598798987768366, 0.06011886307342883, 0.11286582239343247, 0.2688000523406014, 0.5212509159990446, 1.0]"
12,1,2105.576395,7.619279705528343,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",9644.214,"[0.00047536537462722247, 0.9338350095978214, 0.9714367686783489, 0.985188881283856, 0.9925285011009557, 0.9972845174277888, 0.9990326490837492, 1.0]"
13,1,2105.576395,0.0007575782619930852,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",542.715,"[0.003569743444295303, 0.015077664000139422, 0.03227211066859605, 0.06075110564753915, 0.11704939862689905, 0.28084707951128435, 0.5379712341208062, 1.0]"
14,1,2105.576395,0.511787504849743,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",2976.4569,"[0.0004807095623108012, 0.5107722312365335, 0.7230389083306474, 0.8405962209929473, 0.9160690231069976, 0.9694729311244846, 0.9893530206278384, 1.0]"
15,1,2105.576395,0.029496723053336955,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",7.4034,"[0.0005594527152350026, 0.06684384051485709, 0.15311461317926223, 0.2700567551396096, 0.43770359617836463, 0.6988823325935523, 0.8737348361498545, 1.0]"
16,1,2105.576395,13.763632975570355,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",10192.9956,"[0.0004751349990921487, 0.960915045356302, 0.9831909815811237, 0.9912362950704858, 0.9955371540435678, 0.9983526066367702, 0.9994058732319925, 1.0]"
17,1,2105.576395,0.0009999689889959953,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",367.4772,"[0.0028236597884756785, 0.01483284802330453, 0.032753860121415644, 0.062377378562394135, 0.12072315369365032, 0.28887175658519026, 0.5481066981990097, 1.0]"
18,1,2105.576395,28.656325656849845,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",10583.1585,"[0.00047496460207317346, 0.9797281700383925, 0.991209969025095, 0.9953568548278718, 0.997596645497714, 0.9990917774379524, 0.9996667312949595, 1.0]"
19,1,2105.576395,0.00232737936553603,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",168.9802,"[0.0014905168044146509, 0.01620446334378186, 0.03801264679346315, 0.07367558676052968, 0.14254313771559698, 0.3313927608871177, 0.5973517402708554, 1.0]"
20,1,2105.576395,6.983375982246357,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",9538.9758,"[0.00047540969057350077, 0.9285561186324791, 0.9691090667504362, 0.983987091742004, 0.9919308175833637, 0.9970730923228401, 0.99895905798085, 1.0]"
21,1,2105.576395,1.1095966840026112,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",5355.3244,"[0.00047777532831356703, 0.6892672158104519, 0.8462098231427059, 0.9169293173143307, 0.9577625858917037, 0.984913888330033, 0.9947494230907271, 1.0]"
22,1,2105.576395,0.00013255157887542756,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",13866.553,"[0.017862102398027227, 0.027950249986338372, 0.04307209445416358, 0.06824753229495512, 0.11849504094724231, 0.2684157303408348, 0.5155776634040079, 1.0]"
23,1,2105.576395,0.01044727286121442,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",57.2277,"[0.0007063929353414458, 0.03149345555943787, 0.07530562365845889, 0.14263000471913823, 0.25935356635610446, 0.5115388769786717, 0.7580579467874023, 1.0]"
24,1,2105.576395,5.667673442664509,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",9256.6148,"[0.00047552980678734844, 0.9142502224114646, 0.9627352028064222, 0.9806869288521267, 0.9902886021208951, 0.9964928416668328, 0.9987573859073153, 1.0]"
25,1,2105.576395,0.0021007766704823853,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",180.7338,"[0.001599027437207296, 0.015853913673913415, 0.03700621979396017, 0.0716598050385848, 0.1388010024260932, 0.3244349205166677, 0.5896931541925918, 1.0]"
26,1,2105.576395,0.27131932833568434,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",1465.371,"[0.00048530429809024833, 0.360178221616766, 0.5858821219166298, 0.7416963174514988, 0.8566055515088284, 0.945961663227491, 0.9809520307575093, 1.0]"
27,1,2105.576395,0.8745270855604437,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",4602.1951,"[0.0004784682084696013, 0.637637040619175, 0.8140075410727677, 0.897953938748928, 0.9477036397358286, 0.9812589359993992, 0.9934794731900137, 1.0]"
28,1,2105.576395,3.506022607815729,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",8424.3936,"[0.0004759012120970773, 0.8708042225098126, 0.9427385636581477, 0.9702290835850661, 0.9850676151962238, 0.9946501571190665, 0.998118811765595, 1.0]"
29,1,2105.576395,10.721358293493012,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",9993.1496,"[0.0004752191545098214, 0.9511388366227844, 0.9789813457546737, 0.9890736676897842, 0.9944605432518601, 0.9979694271103545, 0.9992716249760965, 1.0]"
30,1,2105.576395,0.0685353499472686,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",114.5169,"[0.0005126547191464866, 0.13166127881997822, 0.2769810489572122, 0.439108280684946, 0.6215820844376829, 0.8297063023649001, 0.9353343515402297, 1.0]"
31,1,2105.576395,0.6900435162266818,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",3860.4885,"[0.00047932487733334697, 0.582820435435488, 0.7769499491454245, 0.875287680430555, 0.9354303583958078, 0.9767407292800622, 0.9919036193545362, 1.0]"
32,1,2105.576395,0.04583906463696761,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",31.6475,"[0.0005302857233038389, 0.0951535165909955, 0.20991221405057517, 0.3520993496860129, 0.53315775701383, 0.772563885696772, 0.9099595328189592, 1.0]"
